Genome,IMG Genome ID,NCBI project ID,# protein encoding genes,pfam00072,pfam00204,pfam02518,# his kin (incl. hybrids),# his kin per 100 genes,# hybrid proteins,# his kin (hybrids removed),# resp. reg (hybrids removed),rr:hk ratio,org_type,unit_norm_hkct,unit_norm_genect
Prochlorococcus sp. MIT0702,2606217681,,2218,10,1,7,6,0.270513977,0,6,9,1.5,o,0.221501014,0.631748625
Prochlorococcus sp. MIT0703,2606217682,,1973,10,1,7,6,0.304105423,0,6,9,1.5,o,0.221501014,0.561965752
Prochlorococcus sp. MIT0801,2606217560,,1964,6,1,5,4,0.203665988,0,4,5,1.25,o,0.147667343,0.559402299
Prochlorococcus sp. MIT9107,2606217692,,1980,5,1,4,3,0.151515152,0,3,4,1.333333333,o,0.110750507,0.563959548
Prochlorococcus sp. MIT9116,2606217690,,1981,5,2,4,2,0.100959112,0,2,3,1.5,o,0.073833671,0.564244376
Prochlorococcus sp. MIT9123,2606217318,,1930,5,1,4,3,0.155440415,0,3,4,1.333333333,o,0.110750507,0.549718145
Prochlorococcus sp. MIT9201,2606217687,,1901,5,1,4,3,0.157811678,0,3,4,1.333333333,o,0.110750507,0.541458132
Prochlorococcus sp. MIT9202,647533199,19343,1999,4,1,4,3,0.150075038,0,3,3,1,o,0.110750507,0.569371281
Prochlorococcus sp. MIT9211,641228501,13551,2059,6,1,5,4,0.194269063,0,4,5,1.25,o,0.147667343,0.586460964
Prochlorococcus sp. MIT9215,2606217559,,1967,5,1,4,3,0.152516523,0,3,4,1.333333333,o,0.110750507,0.560256783
Prochlorococcus sp. MIT9301,640753041,18633,2013,6,1,5,4,0.198708395,0,4,5,1.25,o,0.147667343,0.573358874
Prochlorococcus sp. MIT9302,640069322,15746,3133,6,1,5,4,0.127673157,0,4,5,1.25,o,0.147667343,0.892366295
Prochlorococcus sp. MIT9303,2606217691,,1966,9,1,8,7,0.356052899,0,7,8,1.142857143,o,0.25841785,0.559971955
Prochlorococcus sp. MIT9311,640069323,13496,1860,6,1,5,4,0.215053763,0,4,5,1.25,o,0.147667343,0.529780182
Prochlorococcus sp. MIT9312,2606217680,,1977,6,1,5,4,0.202326758,0,4,5,1.25,o,0.147667343,0.563105064
Prochlorococcus sp. MIT9314,2606217312,,1937,6,1,5,4,0.206504904,0,4,5,1.25,o,0.147667343,0.551711942
Prochlorococcus sp. MIT9321,2606217683,,1936,5,1,4,3,0.154958678,0,3,4,1.333333333,o,0.110750507,0.551427114
Prochlorococcus sp. MIT9322,2606217679,,1949,5,1,4,3,0.15392509,0,3,4,1.333333333,o,0.110750507,0.555129878
Prochlorococcus sp. MIT9401,2606217316,,1968,5,1,4,3,0.152439024,0,3,4,1.333333333,o,0.110750507,0.560541612
Prochlorococcus sp. MIT9515,640069324,13617,2251,5,1,4,3,0.1332741,0,3,4,1.333333333,o,0.110750507,0.641147951
Prochlorococcus sp. NATL1A,640069325,15660,1985,6,1,5,4,0.201511335,0,4,5,1.25,o,0.147667343,0.565383688
Prochlorococcus sp. NATL2A,637000212,13911,1924,6,1,5,4,0.207900208,0,4,5,1.25,o,0.147667343,0.548009177
Prochlorococcus sp. SB,2606217677,,1955,6,1,5,4,0.204603581,0,4,5,1.25,o,0.147667343,0.556838847
Prochlorococcus sp. SS2,2606217313,,1942,6,1,5,4,0.205973223,0,4,5,1.25,o,0.147667343,0.553136082
Prochlorococcus sp. SS35,2606217311,,1941,6,1,5,4,0.206079341,0,4,5,1.25,o,0.147667343,0.552851254
Prochlorococcus sp. SS51,2606217315,,1956,6,1,5,4,0.204498978,0,4,5,1.25,o,0.147667343,0.557123675
Prochlorococcus sp. SS52,2606217314,,4234,6,1,5,4,0.094473311,0,4,5,1.25,o,0.147667343,1.205961983
Roseobacter litoralis Och 149,2510065042,19357,4197,41,2,28,26,0.619490112,7,19,32,1.684210526,o,0.959837728,1.195423345
Roseobacter sp. AzwK-3b,640963029,19361,3703,44,2,32,30,0.810153929,10,20,32,1.6,o,1.107505071,1.054718286
Roseobacter sp. CCS2,640612221,18995,4258,23,3,21,18,0.422733678,2,16,18,1.125,o,0.664503043,1.212797857
Roseobacter sp. GAI101,647533205,30723,4605,55,2,43,41,0.890336591,12,29,41,1.413793103,o,1.513590264,1.311633192
Roseobacter sp. MED193,638341182,13590,4610,47,2,37,35,0.759219089,16,19,29,1.526315789,o,1.292089249,1.313057332
Roseobacter sp. SK209-2-6,640612220,18997,3605,40,2,33,31,0.859916782,11,20,27,1.35,o,1.144421907,1.026805137
Roseovarius nubinhibens ISM,638341183,13464,4823,29,2,26,24,0.497615592,3,21,24,1.142857143,o,0.886004057,1.373725707
Roseovarius sp. 217,638341184,13576,4158,48,2,36,34,0.817700818,8,26,38,1.461538462,o,1.255172414,1.184315051
Roseovarius sp. TM1035,640963035,19363,1743,40,2,29,27,1.549053356,6,21,32,1.523809524,o,0.996754564,0.496455299
SAR116 cluster alpha proteobacterium sp. HIMB100,2503113005,56093,2376,8,2,9,7,0.294612795,0,7,6,0.857142857,o,0.25841785,0.676751458
SAR116 cluster alphaproteobacterium REDSEA-S10_B10N8,2651870131,,1884,7,1,7,6,0.318471338,0,6,6,1,o,0.221501014,0.536616055
SAR116 cluster alphaproteobacterium REDSEA-S2_B12,2654587886,,1796,7,1,6,5,0.278396437,0,5,6,1.2,o,0.184584178,0.511551186
Synechococcus elongatus PCC 7942,637000308,10645,2719,24,1,16,15,0.551673409,3,12,20,1.666666667,o,0.553752535,0.774447481
Synechococcus sp. BL107,639857006,13559,2555,8,1,4,3,0.11741683,0,3,7,2.333333333,o,0.110750507,0.72773568
Synechococcus sp. CB0101,649990022,46501,3049,20,1,12,11,0.360774024,0,11,19,1.727272727,o,0.406085193,0.868440739
Synechococcus sp. CB0205,649990023,46503,2766,10,1,8,7,0.25307303,0,7,9,1.285714286,o,0.25841785,0.787834399
Synechococcus sp. CC9311,637000309,12530,2958,16,1,12,11,0.371872887,1,10,14,1.4,o,0.406085193,0.842521386
Synechococcus sp. CC9605,637000310,13643,4768,9,1,6,5,0.104865772,0,5,8,1.6,o,0.184584178,1.358060164
Synechococcus sp. CC9616,2517093019,,3010,12,1,9,8,0.265780731,0,8,11,1.375,o,0.295334686,0.857332444
Synechococcus sp. CC9902,637000311,13655,2822,7,1,6,5,0.177179305,0,5,6,1.2,o,0.184584178,0.80378477
Synechococcus sp. PCC 7336,2506520048,,3046,71,1,51,50,1.641497045,19,31,51,1.64516129,o,1.845841785,0.867586254
Synechococcus sp. RS9916,639857007,13557,2713,12,1,10,9,0.331736086,0,9,11,1.222222222,o,0.332251521,0.772738512
Synechococcus sp. RS9917,638341213,13555,3403,15,1,11,10,0.29385836,0,10,14,1.4,o,0.369168357,0.96926987
Synechococcus sp. WH 8016,2507262052,61805,2937,14,1,10,9,0.306435138,0,9,13,1.444444444,o,0.332251521,0.836539996
Synechococcus sp. WH 8109,2563366603,,2588,7,1,5,4,0.154559505,0,4,6,1.5,o,0.147667343,0.737135005
Synechococcus sp. WH5701,638341214,13554,3744,13,1,9,8,0.213675214,2,6,10,1.666666667,o,0.295334686,1.066396237
Synechococcus sp. WH7805,638341215,13553,2279,13,1,11,10,0.438788943,0,10,12,1.2,o,0.369168357,0.649123136
Synechococcus sp. WH8102,637000314,230,1724,9,1,6,5,0.290023202,0,5,8,1.6,o,0.184584178,0.491043566
Trichodesmium erythraeum IMS101,637000329,318,5156,44,1,35,34,0.659425912,15,19,28,1.473684211,o,1.255172414,1.46857345
Trichodesmium thiebautii H9-4,2627854162,,3370,19,0,13,13,0.385756677,3,10,16,1.6,o,0.479918864,0.959870544
Alteromonas australica H17,2585427644,,3534,75,1,49,48,1.358234295,18,30,56,1.866666667,c,1.772008114,1.006582345
Alteromonas macleodii Black Sea 11,2521172684,,3858,89,2,61,59,1.529289787,25,34,62,1.823529412,c,2.178093306,1.098866635
Alteromonas macleodii D7,2684623206,,4125,81,2,51,49,1.187878788,23,26,56,2.153846154,c,1.808924949,1.174915725
"Alteromonas macleodii Deep ecotype, DSM 17117",2687453488,,4128,83,2,55,53,1.283914729,22,31,59,1.903225806,c,1.956592292,1.175770209
Alteromonas macleodii HOT1A3,2645727836,,4286,92,2,61,59,1.376574895,26,33,64,1.939393939,c,2.178093306,1.220773042
Alteromonas macleodii MIT1002,2651870151,,4220,90,2,61,59,1.398104265,26,33,62,1.878787879,c,2.178093306,1.201974391
Alteromonas macleodii REDSEA-S09_B2,2651870153,,4019,93,2,60,58,1.443145061,25,33,66,2,c,2.141176471,1.144723952
Alteromonas macleodii REDSEA-S12_B5,2651870155,,3073,61,2,40,38,1.236576635,12,26,47,1.807692308,c,1.402839757,0.875276612
Alteromonas macleodii REDSEA-S15_B11,2524614846,,4044,84,2,56,54,1.335311573,20,34,62,1.823529412,c,1.993509128,1.151844653
Alteromonas sp. ALT199,640612200,18949,4040,85,2,57,55,1.361386139,24,31,59,1.903225806,c,2.030425963,1.150705341
Bacillus sp. B14905,638341014,13545,4750,54,2,43,41,0.863157895,3,38,49,1.289473684,c,1.513590264,1.352933259
Bacillus sp. NRRL B-14911,640963033,19283,5797,49,2,55,53,0.914266,2,51,45,0.882352941,c,1.956592292,1.651148233
Bacillus sp. SG-1,2502790011,36083,4428,25,1,28,27,0.609756098,1,26,23,0.884615385,c,0.996754564,1.261218626
Pseudoalteromonas arctica A 37-1-2,2541047156,,4405,86,2,54,52,1.180476731,23,29,61,2.103448276,c,1.919675456,1.254667581
Pseudoalteromonas atlantica T6c,637000216,13454,4347,80,2,54,52,1.196227283,20,32,58,1.8125,c,1.919675456,1.238147553
Pseudoalteromonas atlantica TB41,2579778892,,5462,81,2,50,48,0.878798975,22,26,57,2.192307692,c,1.772008114,1.555730834
Pseudoalteromonas denitrificans DSM 6059,2599185267,,3634,141,2,95,93,2.559163456,33,60,106,1.766666667,c,3.43326572,1.035065151
Pseudoalteromonas haloplanktis TAC125,637000217,15713,4776,61,2,35,33,0.690954774,17,16,42,2.625,c,1.218255578,1.360338789
Pseudoalteromonas piscicida ATCC 15057,2519899641,,5077,114,2,84,82,1.615127044,29,53,83,1.566037736,c,3.027180527,1.446072033
Pseudoalteromonas rubra ATCC 29570,2541047006,,4924,131,2,94,92,1.868399675,40,52,89,1.711538462,c,3.396348884,1.402493341
Pseudoalteromonas rubra S2471,2671180867,,3672,121,2,84,82,2.233115468,37,45,82,1.822222222,c,3.027180527,1.045888617
Pseudoalteromonas sp. DSM 26666,2619619023,,4713,84,2,52,50,1.060895396,24,26,58,2.230769231,c,1.845841785,1.342394621
Pseudoalteromonas sp. NJ631,2551306111,,3922,112,2,86,84,2.141764406,28,56,82,1.464285714,c,3.101014199,1.11709563
Pseudoalteromonas sp. PAMC 22718,2548877051,,3799,82,2,53,51,1.342458542,23,28,57,2.035714286,c,1.882758621,1.08206178
Pseudoalteromonas sp. SM9913,649633085,39311,3877,79,2,50,48,1.238070673,23,25,54,2.16,c,1.772008114,1.104278368
Pseudoalteromonas sp. TW-7,639857033,18465,4058,78,2,50,48,1.182848694,21,27,55,2.037037037,c,1.772008114,1.155832246
Pseudoalteromonas spiralis DSM 16099,2675903427,,4637,83,2,48,46,0.992020703,21,25,60,2.4,c,1.698174442,1.320747689
Pseudoalteromonas tunicata D2,638341157,13456,3681,105,2,67,65,1.765824504,25,40,78,1.95,c,2.39959432,1.048452069
Pseudoalteromonas undina NCIMB 2128,2541047161,,4261,87,2,53,51,1.196902136,24,27,61,2.259259259,c,1.882758621,1.213652341
Vibrio alginolyticus 12G01,638341222,13571,4824,68,2,45,43,0.891376451,17,26,49,1.884615385,c,1.587423935,1.374010536
Vibrio campbellii AND4,641380451,13564,4034,54,2,29,27,0.669310858,15,12,37,3.083333333,c,0.996754564,1.148996372
Vibrio fischeri MJ11,642555167,19393,4175,55,2,35,33,0.790419162,13,20,40,2,c,1.218255578,1.189157128
Vibrio parahaemolyticus 16,647533245,19395,4136,66,2,47,45,1.088007737,16,29,48,1.655172414,c,1.661257606,1.178048834
Vibrio sp. MED222,638341230,13616,4733,70,2,46,44,0.929642933,18,26,50,1.923076923,c,1.624340771,1.348091183
Vibrio splendidus 12B01,13568,13568,5346,72,2,50,48,0.897867565,18,30,52,1.733333333,c,1.772008114,1.52269078
Algoriphagus sp. PR1,640612202,18947,4265,56,2,47,45,1.055099648,11,34,43,1.264705882,,1.661257606,1.214791653
Alphaproteobacteria sp. SAR11 HIMB5,2503982040,,1467,5,1,6,5,0.340831629,0,5,4,0.8,,0.184584178,0.417842756
Beggiatoa sp. Orange Guaymas,647533115,19287,5330,101,2,78,76,1.425891182,50,26,49,1.884615385,,2.805679513,1.518133531
Brevundimonas sp. BAL3,640963039,19293,3528,65,2,53,51,1.445578231,19,32,44,1.375,,1.882758621,1.004873377
Caminibacter mediatlanticus TB-2,2630968793,,1894,16,1,11,10,0.527983105,2,8,13,1.625,,0.369168357,0.539464335
Candidatus Nitrosopumilus salaria BD31 (Nitrosopumilus salaria BD31),2502545036,,2139,9,0,6,6,0.280504909,0,6,9,1.5,,0.221501014,0.609247209
Candidatus Nitrosopumilus sp. BD31 (assembly_A1_100119),638341056,13577,2338,33,0,18,18,0.769888794,1,17,32,1.882352941,,0.664503043,0.665927992
Carnobacterium sp. AT7,647533124,37679,2510,13,2,14,12,0.478087649,0,12,11,0.916666667,,0.443002028,0.714918417
Citreicella sp. SE45,647533184,19325,5499,55,2,37,35,0.63647936,12,23,41,1.782608696,,1.292089249,1.566269472
Coleofasciculus chthonoplastes PCC 7420,2597489864,,8359,166,1,147,146,1.746620409,72,74,93,1.256756757,,5.389858012,2.380877709
Colwellia psychrerythraea 34H,2531839001,,3981,81,2,55,53,1.331323788,14,39,65,1.666666667,,1.956592292,1.133900485
Congregibacter litoralis KT71,2503283005,,6187,27,2,21,19,0.307095523,4,15,21,1.4,,0.701419878,1.762231174
Cyanobium sp. PCC 7001,637000103,13480,2826,11,1,8,7,0.247699929,0,7,10,1.428571429,,0.25841785,0.804924082
Erythrobacter litoralis HTCC2594,638341081,13512,3068,22,2,16,14,0.456323338,1,13,19,1.461538462,,0.5168357,0.873852472
Erythrobacter sp. NAP1,640963034,19305,3226,34,2,24,22,0.681959082,4,18,28,1.555555556,,0.812170385,0.918855304
Erythrobacter sp. SD-21,640612204,18953,2992,32,2,19,17,0.568181818,3,14,27,1.928571429,,0.627586207,0.852205539
Flavobacteria bacterium BAL38,638341093,13604,2665,21,2,18,16,0.600375235,3,13,16,1.230769231,,0.590669371,0.759066766
Flavobacteria bacterium BBFL7,639857001,13506,2627,25,2,23,21,0.79939094,2,19,21,1.105263158,,0.77525355,0.748243299
Fulvimarina pelagi HTCC2506,2513237293,46495,3817,38,2,25,23,0.602567461,4,19,32,1.684210526,,0.849087221,1.087188685
Gammaproteobacteria sp. OM60 HIMB55,2537562135,,2511,11,2,10,8,0.318598168,3,5,6,1.2,,0.295334686,0.715203245
Hoeflea phototrophica DFL-43,2636416138,,4407,41,2,34,32,0.72611754,5,27,34,1.259259259,,1.181338742,1.255237237
Hydrogenivirga sp. 128-5-R1-1,638341106,13408,3811,29,2,19,17,0.446077145,0,17,27,1.588235294,,0.627586207,1.085479716
Idiomarina baltica OS145,638341107,13546,2660,39,2,23,21,0.789473684,4,17,33,1.941176471,,0.77525355,0.757642625
Janibacter sp. HTCC2649,641380434,19315,4156,35,2,25,23,0.553416747,0,23,33,1.434782609,,0.849087221,1.183745395
Kordia algicida OT-1,640963040,13437,4584,52,2,40,38,0.828970332,6,32,44,1.375,,1.402839757,1.305651802
Lentisphaera araneosa HTCC2155,640963026,19317,5173,21,2,21,19,0.367291707,6,13,13,1,,0.701419878,1.473415527
Limnobacter sp. MED105,2517487002,,3285,65,2,48,46,1.400304414,15,31,48,1.548387097,,1.698174442,0.935660159
Loktanella sp. SE62,638341119,13444,4641,30,2,27,25,0.538677009,5,20,23,1.15,,0.922920892,1.321887002
Loktanella vestfoldensis SKA53,638341246,13373,3117,23,2,18,16,0.513314084,3,13,18,1.384615385,,0.590669371,0.887809046
marine actinobacterium PHSC20C1,2508501120,66025,2718,19,2,13,11,0.404709345,0,11,17,1.545454545,,0.406085193,0.774162652
Marinitoga piezophila KA3,640612205,18955,2131,23,1,16,15,0.703894885,2,13,20,1.538461538,,0.553752535,0.606968584
Marinobacter sp. ELB17,638341124,13587,4908,43,2,32,30,0.611246944,6,24,35,1.458333333,,1.107505071,1.397936092
Marinomonas sp. MED121,2547132385,,4918,72,2,46,44,0.894672631,8,36,62,1.722222222,,1.624340771,1.400784373
Microbulbifer agarilyticus S89,2636416090,,3264,29,2,22,20,0.612745098,6,14,21,1.5,,0.738336714,0.92967877
Microscilla marina ATCC 23134,2501651208,13535,7767,91,2,82,80,1.029998713,19,61,70,1.147540984,,2.953346856,2.2122595
Moritella sp. PE36,638341134,13538,4854,57,2,41,39,0.803461063,11,28,44,1.571428571,,1.439756592,1.382555377
Nitrobacter sp. Nb-311A,638341135,13475,4312,40,2,31,29,0.672541744,9,20,29,1.45,,1.070588235,1.228178572
Nitrococcus mobilis Nb-231,637000194,13993,3552,36,2,22,20,0.563063063,6,14,28,2,,0.738336714,1.01170925
Nitrosococcus oceani C-107,2588253501,,2710,32,2,22,20,0.73800738,6,14,24,1.714285714,,0.738336714,0.771884028
Nitrosomonas cryotolerans ATCC 49181,2651870210,,604,26,1,18,17,2.814569536,3,14,22,1.571428571,,0.627586207,0.172036145
Nodularia spumigena CCY9414,641380424,19327,4208,61,1,42,41,0.974334601,16,25,44,1.76,,1.513590264,1.198556454
Oceanibulbus indolifex HEL-45,638341138,13448,3081,47,2,48,46,1.493021746,7,39,38,0.974358974,,1.698174442,0.877555236
Oceanicaulis alexandrii HTCC2633,638341140,13450,3855,46,2,31,29,0.75226978,8,21,36,1.714285714,,1.070588235,1.098012151
Oceanicola granulosus HTCC2516,648028050,13509,2733,31,2,32,30,1.097694841,5,25,24,0.96,,1.107505071,0.778435073
Parvularcula bermudensis HTCC2503,640963036,19337,5176,45,2,35,33,0.63755796,11,22,32,1.454545455,,1.218255578,1.474270011
Pedobacter sp. BAL39,641380432,19355,4136,105,2,92,90,2.176015474,26,64,77,1.203125,,3.322515213,1.178048834
Phaeobacter gallaeciensis BS107,2510065028,19353,3798,37,2,30,28,0.737230121,9,19,26,1.368421053,,1.0336714,1.081776951
Phaeobacter inhibens 2.10,2501651210,13563,5810,38,2,31,29,0.499139415,9,20,27,1.35,,1.070588235,1.654850997
Photobacterium profundum 3TCK,638341151,13566,4734,77,2,54,52,1.09843684,14,38,61,1.605263158,,1.919675456,1.348376011
Photobacterium sp. SKA34,640963030,19341,8542,48,2,31,29,0.339498946,9,20,37,1.85,,1.070588235,2.433001243
Plesiocystis pacifica SIR-1,638341152,13451,2602,88,2,85,83,3.189853958,27,56,59,1.053571429,,3.064097363,0.741122598
Polaribacter irgensii 23-P,2606217689,,1944,19,2,16,14,0.720164609,3,11,14,1.272727273,,0.5168357,0.553705738
Pseudooceanicola batsensis HTCC2597,638341139,13449,5323,33,2,26,24,0.450873568,7,17,24,1.411764706,,0.886004057,1.516139735
Pseudovibrio sp. JE062,647533200,19345,2854,50,2,34,32,1.121233357,9,23,39,1.695652174,,1.181338742,0.812899268
Psychromonas sp. CNPT3,2501651206,13583,4338,28,2,19,17,0.391885662,2,15,24,1.6,,0.627586207,1.235584101
Rhodobacteraceae bacterium KLH11,647533201,31351,4043,30,2,24,22,0.544150383,5,17,23,1.352941176,,0.812170385,1.151559825
Richelia intracellularis RC01,2622736407,,3255,31,0,20,20,0.614439324,9,11,22,2,,0.738336714,0.927115318
Robiginitalea biformata HTCC2501,646311950,13461,4668,34,2,24,22,0.471293916,7,15,25,1.666666667,,0.812170385,1.329577359
Sagittula stellata E-37,640612219,18971,5121,61,2,49,47,0.917789494,11,36,48,1.333333333,,1.735091278,1.458604468
Shewanella benthica KT99,2501651207,13387,4475,46,2,31,29,0.648044693,6,23,38,1.652173913,,1.070588235,1.274605544
Silicibacter sp. TrichCH4B,647533209,37909,4814,49,2,38,36,0.747818862,16,20,31,1.55,,1.329006085,1.371162255
Sphingomonas sp. SKA58,638341199,13584,3985,46,2,32,30,0.752823087,10,20,34,1.7,,1.107505071,1.135039798
Stenotrophomonas sp. SKA14,647533230,19369,4543,85,2,59,57,1.254677526,17,40,66,1.65,,2.104259635,1.293973852
Sulfitobacter sp. EE-36,638341211,13501,3542,35,2,33,31,0.875211745,5,26,28,1.076923077,,1.144421907,1.008860969
Sulfitobacter sp. NAS-14.1,638341212,13591,4026,38,2,34,32,0.794833582,5,27,31,1.148148148,,1.181338742,1.146717748
Sulfurospirillum sp. Am-N (draft),2502171155,46505,2586,52,1,44,43,1.662799691,2,41,49,1.195121951,,1.587423935,0.736565349
Thalassobium sp. R2A62,647533238,37677,4355,31,2,25,23,0.528128588,7,16,22,1.375,,0.849087221,1.240426178
